"X"	"Team"	"Game"	"Date"	"Home"	"Opponent"	"WINorLOSS"	"TeamPoints"	"OpponentPoints"	"FieldGoals"	"FieldGoalsAttempted"	"FieldGoals."	"X3PointShots"	"X3PointShotsAttempted"	"X3PointShots."	"FreeThrows"	"FreeThrowsAttempted"	"FreeThrows."	"OffRebounds"	"TotalRebounds"	"Assists"	"Steals"	"Blocks"	"Turnovers"	"TotalFouls"	"Opp.FieldGoals"	"Opp.FieldGoalsAttempted"	"Opp.FieldGoals."	"Opp.3PointShots"	"Opp.3PointShotsAttempted"	"Opp.3PointShots."	"Opp.FreeThrows"	"Opp.FreeThrowsAttempted"	"Opp.FreeThrows."	"Opp.OffRebounds"	"Opp.TotalRebounds"	"Opp.Assists"	"Opp.Steals"	"Opp.Blocks"	"Opp.Turnovers"	"Opp.TotalFouls"	"Season"	"Win"
"8072"	3698	"DET"	36	"2018-01-03"	"Away"	"MIA"	"L"	104	111	41	86	0.477	9	24	0.375	13	16	0.813	5	35	21	4	2	9	14	43	84	0.512	17	34	0.5	8	11	0.727	7	41	29	6	3	12	16	"2018"	0
"8156"	3899	"GSW"	38	"2018-01-03"	"Away"	"DAL"	"W"	125	122	48	91	0.527	13	32	0.406	16	19	0.842	7	46	36	8	7	14	21	43	90	0.478	19	43	0.442	17	22	0.773	7	40	29	6	2	12	17	"2018"	1
"8236"	36100	"HOU"	36	"2018-01-03"	"Away"	"ORL"	"W"	116	98	42	89	0.472	15	34	0.441	17	21	0.81	9	51	25	6	3	15	19	35	91	0.385	6	31	0.194	22	25	0.88	9	48	16	7	3	12	19	"2018"	1
"8320"	38101	"IND"	38	"2018-01-03"	"Away"	"MIL"	"L"	101	122	41	84	0.488	3	15	0.2	16	19	0.842	8	30	24	7	2	14	20	44	75	0.587	9	17	0.529	25	28	0.893	6	34	33	8	5	16	23	"2018"	0
"8400"	36102	"LAC"	36	"2018-01-02"	"Home"	"MEM"	"W"	113	105	39	71	0.549	9	23	0.391	26	31	0.839	4	34	23	5	3	19	24	38	79	0.481	8	26	0.308	21	33	0.636	10	38	18	10	2	14	29	"2018"	1
"8482"	36103	"LAL"	36	"2018-01-01"	"Away"	"MIN"	"L"	96	114	34	76	0.447	8	26	0.308	20	29	0.69	9	37	18	12	4	24	25	40	81	0.494	7	20	0.35	27	30	0.9	7	41	26	14	5	17	24	"2018"	0
"8566"	38104	"MEM"	38	"2018-01-02"	"Away"	"LAC"	"L"	105	113	38	79	0.481	8	26	0.308	21	33	0.636	10	38	18	10	2	14	29	39	71	0.549	9	23	0.391	26	31	0.839	4	34	23	5	3	19	24	"2018"	0
"8647"	37105	"MIA"	37	"2018-01-03"	"Home"	"DET"	"W"	111	104	43	84	0.512	17	34	0.5	8	11	0.727	7	41	29	6	3	12	16	41	86	0.477	9	24	0.375	13	16	0.813	5	35	21	4	2	9	14	"2018"	1
"8727"	35106	"MIL"	35	"2018-01-01"	"Away"	"TOR"	"L"	127	131	44	93	0.473	13	27	0.481	26	28	0.929	10	43	27	9	3	14	23	45	91	0.495	14	33	0.424	27	33	0.818	6	40	25	8	8	12	20	"2018"	0
"8812"	38107	"MIN"	38	"2018-01-01"	"Home"	"LAL"	"W"	114	96	40	81	0.494	7	20	0.35	27	30	0.9	7	41	26	14	5	17	24	34	76	0.447	8	26	0.308	20	29	0.69	9	37	18	12	4	24	25	"2018"	1
"8893"	37108	"NOP"	37	"2018-01-03"	"Away"	"UTA"	"W"	108	98	41	82	0.5	14	30	0.467	12	12	1	7	42	23	8	2	20	18	38	84	0.452	7	32	0.219	15	17	0.882	6	36	23	12	1	14	21	"2018"	1
"8975"	37109	"NYK"	37	"2018-01-02"	"Home"	"SAS"	"L"	91	100	35	87	0.402	7	22	0.318	14	18	0.778	12	50	21	5	7	14	23	31	82	0.378	10	27	0.37	28	34	0.824	14	50	18	11	5	8	17	"2018"	0
"9058"	38110	"OKC"	38	"2018-01-03"	"Away"	"LAL"	"W"	133	96	56	93	0.602	14	30	0.467	7	9	0.778	7	44	36	12	5	9	17	38	92	0.413	11	33	0.333	9	15	0.6	16	45	24	5	4	17	10	"2018"	1
"9140"	38111	"ORL"	38	"2018-01-01"	"Away"	"BRK"	"L"	95	98	35	96	0.365	6	31	0.194	19	25	0.76	19	52	16	5	5	12	18	36	82	0.439	9	25	0.36	17	23	0.739	10	52	17	7	10	13	22	"2018"	0
"9221"	37112	"PHI"	37	"2018-01-03"	"Home"	"SAS"	"W"	112	106	36	80	0.45	7	22	0.318	33	43	0.767	13	45	23	10	5	13	21	39	87	0.448	8	25	0.32	20	23	0.87	12	43	15	4	4	15	25	"2018"	1
"9305"	39113	"PHO"	39	"2018-01-02"	"Home"	"ATL"	"W"	104	103	39	77	0.506	7	22	0.318	19	27	0.704	11	47	24	7	4	21	22	36	87	0.414	10	31	0.323	21	25	0.84	17	40	18	11	3	16	22	"2018"	1
"9384"	36114	"POR"	36	"2018-01-01"	"Away"	"CHI"	"W"	124	120	47	108	0.435	14	33	0.424	16	18	0.889	12	50	25	7	5	8	16	45	104	0.433	11	27	0.407	19	23	0.826	15	58	28	5	7	12	21	"2018"	1
"9467"	37115	"SAC"	37	"2018-01-02"	"Home"	"CHO"	"L"	111	131	45	87	0.517	7	17	0.412	14	18	0.778	16	47	22	1	2	15	19	51	89	0.573	15	32	0.469	14	18	0.778	5	30	25	7	3	3	14	"2018"	0
"9550"	38116	"SAS"	38	"2018-01-02"	"Away"	"NYK"	"W"	100	91	31	82	0.378	10	27	0.37	28	34	0.824	14	50	18	11	5	8	17	35	87	0.402	7	22	0.318	14	18	0.778	12	50	21	5	7	14	23	"2018"	1
"9629"	35117	"TOR"	35	"2018-01-01"	"Home"	"MIL"	"W"	131	127	45	91	0.495	14	33	0.424	27	33	0.818	6	40	25	8	8	12	20	44	93	0.473	13	27	0.481	26	28	0.929	10	43	27	9	3	14	23	"2018"	1
"9714"	38118	"UTA"	38	"2018-01-03"	"Home"	"NOP"	"L"	98	108	38	84	0.452	7	32	0.219	15	17	0.882	6	36	23	12	1	14	21	41	82	0.5	14	30	0.467	12	12	1	7	42	23	8	2	20	18	"2018"	0
"9796"	38119	"WAS"	38	"2018-01-03"	"Home"	"NYK"	"W"	121	103	48	81	0.593	9	23	0.391	16	26	0.615	6	42	27	9	5	12	21	41	86	0.477	7	19	0.368	14	18	0.778	8	36	19	7	5	14	20	"2018"	1
